GeneName	0h-1	0h-2	3h-1	3h-2	6h-1	6h-2
CG7724	28	55	77	69	99	108
Rbp6	156	153	249	178	296	338
CG6512	460	412	662	648	760	878
CG7707	13	24	30	22	35	36
CG6497	39	45	67	64	70	86
CG13723	5	4	7	8	8	4
ND-24L	8	18	30	27	31	27
CG13724	0	0	0	1	1	0
CG13725	18	25	47	37	42	38
Or74a	0	0	0	0	0	0
CG6479	47	35	74	59	84	94
CG13727	0	0	0	0	0	0
brv2	4	3	9	7	2	8
Mip	9	4	8	16	19	15
CG7692	52	54	80	82	106	128
tap	1	0	2	1	0	0
Cad74A	74	97	134	119	174	166
CG13728	0	1	1	0	1	0
CG13731	7	5	1	2	7	4
blot	152	145	247	205	248	306
Sec3	66	66	107	91	124	140
CG7630	477	509	772	677	849	1037
CG33051	5	9	23	18	21	22
Gorab	26	23	33	37	53	56
frc	159	175	268	253	359	332
Coq4	159	175	268	253	359	332
CG32176	49	53	59	47	68	68
CG12229	79	62	103	91	128	162
CG18265	4	6	7	6	4	11
QIL1	248	269	422	357	446	544
SecCl	74	71	106	115	134	158
UQCR-Q	500	526	759	720	920	1000
CG34250	4	6	18	14	19	14
CG13733	55	53	86	68	100	119
qjt	2	8	9	7	12	11
CG6333	25	17	48	27	32	44
Oatp74D	138	122	178	178	230	272
edin	0	0	0	0	0	0
U4-U6-60K	56	34	82	64	113	98
CG7564	69	73	104	119	155	163
Edc3	70	88	128	121	170	172
Nedd4	270	288	427	400	500	576
Jon74E	0	2	3	0	2	5
CG7542	263	276	439	358	491	566
CycT	221	198	317	285	404	381
Eip74EF	65	48	90	82	96	135
Vps60	134	128	201	166	229	242
anchor	172	147	256	224	299	352
CG7497	99	116	149	147	186	225
Pep	525	541	797	740	1005	1104
CG43085	0	1	3	6	4	6
Ndfip	207	178	282	277	316	392
Krn	56	41	86	66	91	103
CG7484	55	45	81	69	84	116
Crtc	140	154	197	188	264	264
CG34251	0	0	0	0	1	0
Ccn	8	11	19	12	28	20
CheB74a	1	0	0	1	0	0
CG6052	1	3	3	6	5	5
CG7460	15	17	13	19	26	32
CG6034	2	7	6	2	2	3
Adgf-B	30	27	54	49	46	70
Adgf-A	202	195	292	301	387	412
Adgf-A2	71	67	97	103	118	139
CG32182	0	0	0	0	1	0
CG32181	56	74	78	82	105	105
CG42815	0	0	0	0	0	0
CG42816	10	11	26	11	14	20
NUCB1	470	467	752	702	879	1038
CG5589	23	19	31	27	27	37
CG32187	6	5	11	9	7	12
CG32191	180	152	245	236	300	310
Cln3	96	70	160	137	159	171
Ir75a	0	1	1	1	2	1
Ir75b	0	1	0	0	0	0
Ir75c	0	0	0	1	0	0
Grd	1	3	3	5	5	4
CG32188	0	0	0	1	0	0
CG32189	0	0	0	0	0	0
CG5577	156	148	232	208	271	304
CG5567	199	214	317	303	396	421
MED19	98	88	122	96	144	180
CG7430	920	976	1500	1381	1801	1942
TrpRS-m	152	166	309	240	378	407
CG5535	82	72	103	104	115	147
CG34002	41	36	79	64	98	107
CG7408	29	30	57	31	62	64
CG5506	200	215	305	292	380	445
CG16775	19	28	32	33	29	37
CG7402	12	17	20	23	24	26
Tsp74F	97	95	169	153	190	227
Prestin	190	174	322	265	329	399
Wdr92	35	33	40	34	64	77
CG5290	59	58	96	61	88	103
Eip75B	279	277	420	388	512	539
CG32192	52	81	86	93	115	162
CG42393	96	80	141	122	153	188
CG44006	4	6	6	4	12	9
CG44005	6	4	16	11	12	12
CG44004	4	3	8	5	3	5
CG34253	26	29	29	30	48	54
CG13698	63	60	82	84	96	131
mRpS26	53	44	87	80	109	115
RpIIIC53	47	52	85	56	79	98
mus304	26	14	32	38	42	44
CG32195	67	61	104	77	103	118
CG7341	3	4	5	4	10	7
CG42853	26	34	52	45	59	52
Cyp312a1	711	719	1101	985	1351	1487
geko	31	34	59	43	74	76
CG7330	5	8	18	12	13	11
CG13699	0	0	0	0	0	0
hid	38	54	64	57	74	92
CG7320	0	0	1	0	1	2
CheA75a	48	53	57	69	89	96
CG5103	41	45	98	82	69	106
CG13700	57	67	96	64	85	118
grim	0	3	1	0	0	0
rpr	1	1	0	1	3	1
skl	0	0	1	2	4	1
CG32196	9	21	19	19	29	25
CG4306	40	39	56	55	64	68
Met75Cb	0	0	0	0	0	0
Met75Ca	0	0	0	0	0	0
AstC-R2	14	8	14	16	12	16
CG32198	1	1	0	1	0	2
AstC-R1	1	2	9	9	11	11
CG7271	0	0	0	0	0	0
term	0	0	0	0	0	0
CG13380	28	34	56	50	52	66
CG4174	28	34	56	50	52	66
CG18234	69	102	118	109	153	160
CG18233	42	43	71	57	65	85
CG18231	32	30	43	49	41	49
CG32201	0	1	1	2	2	1
CG32199	59	51	77	74	96	101
not	51	57	74	67	90	108
bora	30	26	27	36	47	46
MYPT-75D	148	151	194	192	260	291
CG42495	7	6	10	7	11	13
Capr	407	401	647	556	757	884
GNBP2	120	112	173	168	201	261
GNBP1	33	39	51	47	68	77
Sgf11	29	23	37	35	45	43
CG32202	12	11	13	17	15	22
Chmp1	192	191	300	251	333	387
Cyp12c1	101	68	144	115	170	166
CG6893	11	8	17	13	19	20
Dic4	5	5	12	13	13	18
CG12477	5	8	15	18	16	19
CG6885	0	0	0	0	0	0
MED11	27	21	35	33	49	47
Nufip	8	17	24	18	21	26
Atg3	114	122	177	173	235	251
ftz-f1	114	104	163	128	189	221
CG14073	117	127	193	161	233	237
HipHop	24	31	31	32	50	46
Cat	1507	1498	2333	2224	2733	3138
Indy	566	527	801	765	958	1070
CG6865	0	0	0	0	0	1
CG14074	11	5	6	8	12	8
Dysb	24	16	34	17	34	34
Grx1	138	146	203	181	252	269
Rad9	18	10	8	8	14	17
Blos3	17	10	17	20	17	30
Uggt	228	226	369	304	407	455
CG3961	409	408	658	592	728	847
NijB	0	0	0	1	1	1
CG3902	613	651	942	919	1133	1172
RpL26	1799	1896	2828	2611	3403	3725
arx	11	11	16	20	24	25
CG6843	24	25	47	42	47	47
CSN1b	89	104	130	125	159	222
CG6841	68	61	106	77	103	120
Ir75d	21	18	28	23	35	37
CG14077	61	54	83	69	100	102
CG6839	98	87	160	145	188	207
CG18223	6	7	6	9	6	9
CG3819	11	5	9	17	15	14
CG32204	9	4	4	7	12	15
CG43049	6	11	16	17	20	23
CG6836	44	54	76	68	75	83
CG14075	17	24	23	20	41	22
CG11619	11	9	19	17	18	31
CG34256	10	10	16	13	13	30
CG18135	1658	1649	2509	2420	3141	3275
CG3808	46	42	73	78	76	82
SmydA-2	17	25	30	33	40	50
nkd	38	28	44	37	53	75
Acp76A	70	80	117	104	166	126
CG43407	3	1	2	1	2	3
Ugt316A1	82	77	149	135	127	184
Sfxn2	70	78	112	94	114	124
Mkp3	86	89	141	129	164	169
MESR6	42	50	52	69	99	84
CNPYb	44	53	59	62	61	88
Naxd	63	64	99	83	128	134
CG14079	2	2	1	0	2	5
Gem2	18	18	24	16	33	34
CG14082	5	3	13	11	8	15
Spn75F	202	197	320	272	338	408
fz2	116	103	168	142	198	233
CG33647	0	0	0	0	1	0
mRpL21	34	39	52	60	77	84
rept	88	77	143	151	174	183
nes	238	221	357	317	410	460
Bet1	28	32	58	42	73	70
Max	55	48	91	75	120	132
CG9666	48	60	63	85	100	126
CG42374	48	60	63	85	100	126
CG45081	1	4	1	2	9	9
Aldh7A1	304	328	557	467	588	701
CG14085	0	1	1	1	6	2
CG14088	0	0	0	0	0	0
CG14086	0	0	0	1	0	0
CG14089	0	0	0	0	0	0
Gbs-76A	287	346	516	470	611	712
fal	88	100	133	122	163	184
pip	1	2	1	3	4	1
CG32206	15	10	21	21	30	22
ms(3)76Ba	6	3	10	7	8	12
CG33062	3	2	1	0	1	1
Chd3	13	33	54	39	45	36
CG14095	0	0	0	0	0	0
CG14096	0	0	0	0	0	0
CG32214	0	0	0	0	0	0
825-Oak	0	0	0	0	0	0
CG12519	0	0	0	0	0	0
CG18294	0	0	0	0	0	0
CG32213	0	0	0	0	1	0
brv1	6	2	5	3	6	10
CG32212	1	0	0	0	0	2
CG9449	128	151	215	218	278	299
CG9451	173	160	238	227	268	267
CG9452	18	32	41	38	44	56
Cpr76Ba	0	0	0	0	0	0
Cpr76Bb	1	0	1	0	0	3
Cpr76Bc	4	8	17	11	14	17
Cpr76Bd	14	19	35	25	34	47
CG9279	138	146	220	183	248	287
CG46434	138	146	220	183	248	287
Ltn1	198	168	286	259	320	361
Rcd7	80	99	143	140	153	166
CG46435	80	99	143	140	153	166
CG9300	55	38	66	62	92	95
Shal	28	24	44	40	53	60
CG9231	89	96	142	105	176	201
CG9330	162	151	276	240	316	326
CG14100	32	20	50	35	55	59
ash1	99	116	162	153	204	206
Taf6	55	49	82	77	115	88
CG9368	9	10	15	8	16	6
lush	13	14	16	21	30	23
CG9372	257	238	405	346	439	515
Lon	189	178	298	234	349	362
PIG-F	16	16	37	36	43	43
l(3)76BDm	120	115	200	188	235	248
asf1	54	49	84	89	103	107
ms(3)76Cc	86	65	112	126	137	172
wnd	81	101	148	136	161	190
Rnf146	38	38	47	72	57	72
Oat	219	246	394	391	489	543
tey	14	10	24	15	16	20
CG8765	74	58	103	73	117	155
Gbeta76C	192	188	294	260	343	432
verm	314	318	499	456	567	664
serp	236	217	395	383	442	482
Trpml	0	0	0	0	0	0
CG42637	5	15	23	17	19	26
CG42529	0	0	0	0	0	0
CG42638	0	0	0	0	0	0
Gyc76C	5	15	23	17	19	26
ms(3)76Ca	0	0	0	0	0	0
SREBP	696	760	1087	1047	1260	1499
CG14102	4	10	22	29	22	23
Ir76a	10	10	13	10	19	23
TORIP	57	61	86	89	98	126
Ccdc58	21	16	35	28	36	32
CG34116	1	4	6	6	7	10
CG14104	1	7	8	6	10	13
Kap-alpha1	214	227	361	318	442	465
Cyp305a1	138	160	216	207	242	271
cyc	90	102	146	123	171	183
Fibp	30	36	43	39	68	57
Deaf1	76	75	122	98	127	190
trc	133	133	244	209	262	314
CG32221	39	44	51	68	87	75
kto	123	107	202	171	219	226
Papss	40	68	83	75	100	102
Rab8	217	213	380	333	384	444
Usp32	182	194	311	283	379	372
Mi-2	345	279	486	441	618	719
Su(Tpl)	402	417	625	548	812	864
Prp3	76	72	122	106	156	165
Mtr3	19	19	38	34	46	36
Rpn1	539	576	819	776	976	1047
Su(z)12	91	118	152	159	199	226
Pfdn6	101	80	143	113	171	187
Grasp65	167	173	289	268	315	374
CG8004	38	46	58	54	88	103
RhoGDI	261	238	390	345	443	550
CG46462	56	47	82	58	91	111
Ac76E	135	137	225	220	236	233
CG32219	2	3	5	4	7	10
CG34258	5	3	7	7	10	6
CG33710	0	1	0	2	3	1
CG42655	1	1	1	1	2	4
CG42654	1	0	1	3	0	0
CG42263	6	9	15	6	11	12
CG14182	15	10	21	13	32	26
CG17732	2	1	0	0	3	2
hale	26	38	55	50	56	78
schuy	65	68	99	103	138	142
Csas	15	5	17	17	30	28
fln	854	939	1414	1216	1596	1831
CG7646	31	20	49	34	52	59
Nca	70	64	99	100	127	171
Gabat	268	270	406	380	455	502
Tom20	189	199	317	288	325	411
CG7668	154	138	216	224	251	300
kug	121	145	178	189	230	277
CG14183	59	45	92	93	129	132
CG14184	63	67	80	92	101	125
sNPF-R	10	10	9	13	19	18
CG14186	36	31	55	43	75	72
CG14185	0	0	0	1	1	0
Ir76b	1	3	3	4	4	4
CG14187	9	10	19	21	20	28
CG7365	37	32	43	47	59	80
gig	126	118	234	168	237	259
obst-J	1	1	2	2	0	5
CG7335	32	19	58	33	42	56
CG7328	27	21	30	27	30	44
CG42674	140	137	209	182	256	273
Ssk	215	239	349	347	418	504
CG42833	15	11	18	14	20	18
obst-F	0	0	0	0	1	0
CG7298	9	7	16	20	16	18
CG7290	0	0	0	0	1	0
CG6996	0	0	1	0	0	0
CG7017	37	24	46	40	66	61
CG6933	11	11	18	6	18	20
CG17145	5	4	4	6	3	7
CG17147	0	0	1	0	1	0
Su(var)3-3	31	32	57	47	69	66
CG13813	0	0	0	0	0	0
CG17233	123	129	179	150	204	230
CG6951	8	9	16	7	9	10
Clc	263	288	432	382	497	590
rdgC	37	55	70	81	114	101
CG32228	9	4	12	4	9	9
gogo	2	6	8	11	4	11
CG17122	20	21	37	33	55	44
FRG1	30	35	60	53	51	70
Pex23	55	54	88	92	116	119
SCCRO4	85	89	153	143	167	201
CG32225	17	22	27	18	29	37
polo	157	137	256	234	274	313
alphaSnap	290	264	446	398	494	578
Spn77Ba	160	171	261	211	276	360
Spn77Bb	376	345	627	479	635	705
Spn77Bc	355	329	545	458	584	634
Rbbp5	36	31	44	48	47	44
eRF1	296	301	481	415	571	590
CG5618	264	265	409	363	473	561
kin17	58	30	62	52	70	72
CG5665	0	0	0	0	0	1
DNApol-alpha60	24	23	47	39	55	44
Toll-9	6	2	8	5	7	5
in	13	16	24	25	42	32
CG13247	2	2	0	2	1	4
Ide	175	177	285	264	332	357
RhoBTB	198	198	334	293	391	391
CG5498	50	66	79	97	94	92
fbl	345	347	571	500	618	751
CG33969	39	34	37	66	62	66
trbl	133	123	218	182	231	256
CG13248	12	14	28	19	32	27
zye	23	23	46	30	34	35
CG5282	12	9	18	20	21	29
CG5274	23	14	30	28	43	37
CG5262	41	46	53	51	84	99
Las	124	157	203	162	243	249
Psn	121	132	203	149	247	277
mRpL15	48	42	57	66	81	102
CtIP	26	23	47	37	41	69
Hpd	469	442	782	681	830	932
CG5910	77	82	141	122	172	174
CG5199	22	21	43	29	39	51
atk	59	44	97	79	103	128
mag	11	16	25	35	31	37
CG42764	5	6	4	3	4	10
CG5955	47	38	52	64	64	99
CG32428	59	72	92	102	116	159
CG5969	38	40	61	60	73	75
isoQC	48	49	76	87	105	110
ZnT77C	26	34	45	37	45	45
ND-39	943	962	1473	1397	1783	1897
CG32425	237	259	356	361	452	544
CG18281	16	14	27	29	37	46
CG17637	31	35	45	35	47	56
CG5078	1	2	5	4	9	3
CG5059	247	252	389	334	467	539
mTerf3	16	24	37	37	51	45
CG5104	39	50	76	59	90	96
l(3)77CDf	173	162	246	228	287	304
CG4858	64	55	106	104	106	120
Rcd2	56	55	71	56	88	87
CG13250	0	0	1	3	0	1
knrl	19	18	38	25	46	38
CG13251	1	2	3	1	5	4
kni	16	16	27	19	27	34
cmpy	7	6	7	10	14	13
CG34260	0	0	0	0	0	0
CG13252	92	78	146	122	179	204
Gr77a	0	0	0	0	0	0
CG33912	0	0	0	0	0	0
CG43251	16	12	19	16	16	22
CG4074	10	11	23	26	28	31
CG4186	10	12	13	10	13	22
CG4042	43	37	44	52	90	76
Pitslre	244	260	401	349	492	497
Pex16	38	71	77	64	107	115
Pex14	128	108	202	179	222	269
CG11399	126	120	148	149	219	234
CG11396	46	53	87	84	105	101
Six4	5	9	7	10	10	11
CG3698	6	10	9	11	13	20
tzn	171	200	279	263	317	382
Spc105R	48	40	59	41	58	76
CG3634	72	62	116	105	125	140
HIPP1	179	168	226	224	285	289
CG3618	59	78	80	104	124	132
Pka-R1	214	242	375	305	384	484
Mst77F	314	329	521	474	578	655
CG3288	1	0	0	2	1	1
CG13255	61	60	84	68	98	124
CSN3	58	84	124	110	124	156
CG11456	11	15	21	26	24	23
CG32432	43	34	65	65	60	89
Sfp77F	40	41	43	46	54	71
CG43931	20	31	49	37	69	47
CG11458	18	10	14	14	21	17
fng	52	50	87	91	112	110
CG10589	42	41	62	60	71	90
Sems	43	64	66	60	81	87
CG10588	15	16	13	19	27	26
CG11037	214	215	365	317	406	446
CG10587	14	17	17	12	21	27
CG12983	69	72	101	95	125	153
CG33287	31	34	62	43	56	73
CG33286	14	18	36	38	38	42
CG12984	1	1	3	5	5	4
skd	223	207	342	304	381	467
Pdss2	51	47	74	83	113	115
CG10584	31	47	58	47	70	76
Sin	38	31	66	54	59	84
CG10581	14	18	21	24	18	40
siz	190	222	318	259	397	411
CG43072	3	2	12	12	14	16
ko	40	32	71	68	100	100
CG33285	17	9	23	19	35	22
CG43938	0	0	0	0	0	0
CG33284	128	109	172	153	203	230
ICA69	16	15	18	23	35	36
CG10565	225	269	436	385	522	523
Ac78C	31	19	44	42	50	81
AsnS	120	100	213	166	200	229
chb	309	303	486	429	537	630
CG42337	24	20	25	15	20	34
park	55	33	66	61	63	65
CG34261	9	9	11	8	16	16
CG33054	60	71	88	69	103	111
CG33056	76	65	107	107	138	151
CG10512	123	154	210	184	285	292
CG10510	35	33	46	49	67	81
CG10508	30	36	46	51	67	59
CG12975	18	11	18	26	26	41
Ilk	130	143	219	190	248	276
CG43219	0	1	2	0	2	2
Eip78C	4	8	16	17	27	37
CG43218	5	8	13	20	11	19
CG9391	217	207	343	278	388	400
CG9389	213	204	320	353	401	430
AcCoAS	1433	1430	2196	2071	2588	3038
ppl	252	247	409	403	492	535
CG12974	109	95	181	158	234	231
pzg	193	205	289	288	324	394
Cpr78Ca	1	1	0	0	0	1
Cpr78Cb	0	0	0	0	0	0
Edg78E	1	0	1	0	1	1
CG43702	1	4	1	1	4	2
Cpr78Cc	0	0	0	0	1	0
CG11309	260	269	411	342	457	572
CG7632	41	47	70	79	84	94
Pc	22	27	39	27	53	68
Rab26	15	18	16	21	23	26
Tsr1	145	146	216	211	250	253
CG7324	235	288	403	398	512	535
CG32436	260	239	404	367	510	544
ebd2	5	9	28	20	23	25
CG12971	1	2	1	1	1	4
CG32437	57	41	61	69	70	86
CG32440	32	23	49	40	48	53
rgn	321	347	514	466	667	698
sa	3	2	10	8	10	9
barc	100	98	149	121	203	193
CG33288	16	15	16	21	19	24
Aef1	100	109	187	178	257	254
CG5664	22	30	42	41	58	45
Alp1	1	0	2	0	0	2
Syx7	152	156	273	240	297	334
croc	4	5	8	4	6	9
Neu2	0	0	0	0	1	0
CG7202	46	45	67	87	90	108
CG7519	48	30	52	45	44	79
Hr78	105	78	200	169	226	254
Glg1	370	381	570	512	661	791
Est-Q	129	120	206	186	255	230
M6	68	58	107	102	117	142
SAK	25	25	40	26	52	53
Cdk12	171	157	261	214	307	348
CG7611	278	313	466	455	566	647
Arv1	17	15	29	32	28	37
Mkrn1	170	163	234	207	313	328
ppk5	0	0	1	0	1	1
Rpn10	329	354	538	487	603	664
COX8	378	426	639	606	758	855
VhaM9.7-b	287	260	402	402	448	515
CG33290	2	6	6	8	4	7
Wnk	300	288	448	401	512	688
CG7173	0	0	0	1	1	0
CapaR	11	8	11	12	12	17
CG7634	57	52	77	82	89	88
CRIF	57	58	109	73	106	112
SMC5	62	58	76	84	105	110
EMC10	63	55	109	86	107	123
TfAP-2	2	3	4	6	12	10
S1P	43	56	75	57	85	84
CG11307	23	15	27	35	36	42
CG7166	10	17	26	19	19	30
Alg11	151	152	247	166	287	245
MED1	124	133	201	175	236	245
ORMDL	48	50	69	63	77	109
CG32444	519	532	804	789	1031	1141
CG32445	98	118	154	143	200	211
Atox1	152	166	223	227	292	333
CG43980	6	6	6	2	5	10
Cpr78E	1	0	1	3	1	4
CG11249	25	32	60	46	49	56
Als2	180	159	240	239	305	310
CG11248	50	64	101	72	101	120
Sfp78E	55	53	96	97	99	114
CG32447	1	3	6	1	4	2
CG11247	62	61	102	80	108	129
Rpb8	39	35	52	36	60	50
CG14570	0	0	1	0	0	0
CG14569	1	1	1	0	1	3
CG14568	0	0	1	0	0	0
CG14573	0	0	0	1	1	0
CG14567	55	65	91	84	126	145
CG14566	3	1	3	4	2	3
CG14572	23	19	31	25	37	37
CG14565	27	28	55	49	60	76
Syn1	25	25	39	22	45	60
CG14564	0	0	0	1	0	0
CG7370	0	0	0	0	0	0
eg	3	1	6	2	3	6
CG43895	0	0	0	0	0	0
CycH	14	21	36	33	46	36
CG7407	28	31	35	39	48	67
CG7414	805	834	1279	1168	1479	1688
CG32448	14	14	28	24	45	40
CG7148	40	38	50	55	73	83
Nopp140	136	145	235	216	299	301
P5CDh1	270	297	458	451	563	614
CG14563	0	0	0	0	0	0
mub	406	409	598	513	755	825
SLC22A	37	31	41	38	64	76
DNApol-eta	9	19	19	13	22	34
CG14562	49	44	85	61	80	93
CG7458	32	37	58	50	73	55
Chs2	117	108	163	158	210	235
CG7470	1841	1730	2850	2652	3257	3697
Act79B	1478	1490	2232	2100	2653	2954
CG7140	47	35	72	58	80	113
CG43392	95	80	133	125	158	180
Oct-TyrR	4	8	12	14	15	15
CG14561	16	12	27	21	32	36
CG7139	117	128	203	189	236	274
CG7133	45	43	63	59	63	93
CG7130	15	15	28	25	34	31
RpLP0	2492	2565	3886	3615	4605	5161
Sfp79B	1	1	9	5	4	11
msopa	165	160	249	214	285	349
olf413	21	32	41	29	46	47
Rich	137	146	258	206	281	334
Ddx1	68	67	133	124	141	141
CG11523	39	29	37	34	46	64
Csp	280	266	422	398	538	563
Srpk79D	109	85	175	137	192	182
Hem	76	84	159	139	173	201
IleRS	220	199	303	287	350	402
Ten-m	351	300	467	485	616	689
CG32450	38	32	55	38	57	83
CG11449	0	0	0	0	0	0
laza	116	145	196	180	274	265
CG11438	42	32	70	50	69	66
CG11437	3	2	7	7	2	5
CG11426	44	52	79	51	89	89
CG11425	15	25	25	28	35	47
CG43312	5	3	4	2	5	5
CG43331	12	22	26	25	26	26
CG43330	0	0	0	0	0	0
CG43329	13	14	17	6	19	23
CG11404	11	10	23	21	19	17
Trxr-2	26	22	34	23	40	45
CG14459	1	2	0	1	1	2
ND-B14.5AL	16	17	21	14	24	27
CG33766	0	0	0	0	0	0
CG33767	0	0	0	0	0	0
CG33768	0	0	0	0	0	0
CG33769	0	0	0	0	0	0
CG33770	0	0	0	0	0	0
CG33771	0	0	0	0	0	0
CG33772	0	0	0	0	0	0
CG14457	9	8	12	19	19	15
CG14455	0	0	0	1	0	0
CG14456	17	7	7	11	7	11
CG14454	0	0	0	0	0	0
CG12546	0	0	0	0	0	0
CG14453	0	0	0	0	0	0
CG14452	0	0	0	0	0	0
CG32453	0	0	0	0	0	0
CG45116	0	0	0	1	1	1
CG11370	1	0	3	1	2	0
ArfGAP3	174	186	324	330	376	413
CG32452	29	26	48	24	38	47
mael	38	38	56	32	64	70
CG14451	0	0	0	0	1	1
CG14450	16	21	31	39	39	52
CG11367	26	35	58	53	82	80
CG32454	23	15	29	32	43	44
CG11241	49	40	92	69	91	111
l(3)04053	58	67	105	106	123	130
CG7369	47	56	95	63	112	128
SPoCk	300	316	464	418	571	615
CG14448	34	20	38	29	43	57
jim	189	202	322	278	386	413
CG45428	4	5	9	7	10	8
CG11226	22	15	33	27	38	36
CG32462	46	58	79	74	98	113
CG32459	48	42	73	59	83	110
CG13239	2	0	1	0	3	6
CG33169	22	15	25	33	39	39
CG33170	35	37	52	52	61	59
EMC4	102	122	182	162	205	247
Arf79F	815	828	1270	1141	1419	1648
CG11109	34	23	34	38	58	47
Chro	137	152	208	187	224	274
Ssl1	45	42	69	54	69	78
slif	87	107	148	143	194	174
CG11131	8	12	27	13	26	26
BoYb	5	10	6	7	19	19
CG12768	12	7	10	17	7	10
Mes2	49	60	100	64	109	115
CG32461	5	8	11	10	14	27
CG32457	23	26	49	44	46	65
nrm	121	98	192	159	213	262
RpL10	2168	2121	3290	2836	3700	4168
CkIIalpha	247	221	356	309	439	465
CG33217	28	37	33	40	49	64
Vps11	54	69	78	92	97	130
CG34031	0	0	2	2	0	0
nAChRalpha4	28	37	54	49	61	65
alpha-Cat	181	159	251	214	288	352
ND-MLRQ	416	425	662	533	697	818
AGO3	32	17	39	36	69	62
CG17454	70	62	110	88	111	145
CG40298	3	0	2	1	3	3
CG17698	123	107	181	166	217	235
CG43968	8	9	10	14	14	18
CG40470	15	14	21	28	29	36
CG40045	140	176	222	211	287	359
Snap25	64	71	92	92	111	115
nvd	0	1	2	1	2	3
mRpS5	99	99	181	141	186	228
scro	9	15	24	11	20	26
CG40472	42	42	60	52	56	61
ND-AGGG	90	112	155	123	179	195
Set1	109	113	175	171	198	248
MED21	39	32	41	37	54	62
UQCR-11	14	14	26	24	28	52
lovit	18	24	35	44	35	40
FASN3	622	607	899	783	1088	1217
l(3)80Fg	54	49	89	90	99	117
CG40160	99	94	176	132	192	221
CG41284	0	0	0	0	0	0
CG42598	0	0	1	0	1	1
CG40228	42	36	58	46	79	82
vtd	106	106	186	156	178	220
RpL15	1673	1707	2537	2291	2990	3274
Dbp80	103	101	145	124	192	182
eIF4B	57	32	63	61	78	89
l(3)80Fj	272	240	394	371	482	513
Myo81F	0	2	1	0	2	3
Pzl	2	1	3	4	8	0
spok	2	0	3	1	1	2
Parp	87	83	136	107	160	167
Alg-2	105	88	125	105	158	136
Tim17b	246	256	426	375	517	525
CG41128	63	85	88	112	130	144
CG41099	182	165	304	239	333	411
CG42402	16	18	29	33	23	51
Gfat1	130	142	214	206	264	297
CG40198	13	19	24	29	32	35
CG12581	159	175	233	238	306	345
Dsk	15	18	35	17	31	29
beta-Man	212	221	354	301	386	454
CG14636	7	16	13	9	18	23
aux	146	152	223	207	272	294
CG31516	18	19	13	16	24	28
DhpD	113	127	203	182	259	256
CG14641	106	121	154	157	205	263
abs	55	56	72	74	95	104
Gel	986	1022	1595	1530	1930	2175
CG14642	12	15	16	23	37	27
CG34305	0	1	1	3	1	0
TwdlF	0	0	0	0	0	0
TwdlG	5	8	8	9	16	9
CG14644	10	22	13	20	31	35
TwdlV	1	0	4	1	3	2
Or82a	0	0	0	0	0	0
CG1092	120	110	179	180	203	209
CG9766	6	2	9	5	9	7
cpx	402	462	750	589	786	876
Nepl11	499	466	751	728	916	1034
Vps24	138	157	230	188	236	321
MP1	153	157	271	207	267	351
Suv3	37	45	62	51	82	95
Syt14	6	11	24	14	19	15
CG9795	71	66	121	111	144	178
CG9776	190	175	279	268	327	376
Skp2	50	42	89	58	86	98
CG14645	470	405	703	610	715	815
CG1103	28	40	47	49	68	78
hkb	0	0	0	0	0	1
CG1090	53	41	56	65	75	83
Sfxn1-3	372	386	609	536	717	822
Cont	291	301	465	389	569	555
tub	82	100	150	116	161	181
CG14646	29	33	53	35	59	56
CG34112	15	11	13	13	24	21
CG9855	169	128	209	165	253	272
CG9853	100	98	170	156	212	226
CG14647	49	46	63	67	79	95
lost	1028	1050	1601	1516	1953	2121
CG32944	12	13	20	15	21	20
CG31528	20	27	25	37	53	51
srl	114	106	170	168	213	226
CG31525	15	20	25	30	26	30
eIF3a	629	617	953	928	1183	1293
CG1074	39	39	60	52	67	68
CG9804	22	17	37	29	46	49
CG14650	98	90	164	145	160	190
CG31522	477	463	668	657	820	961
CG31523	1247	1249	1947	1762	2254	2522
CG14651	12	15	22	19	23	25
Fip1	62	101	106	104	144	171
CG34357	18	20	28	25	27	31
CG34425	41	30	63	55	82	72
Mur82C	17	17	19	18	37	37
CG32945	6	6	11	8	25	15
5-HT2A	34	47	46	48	54	53
CG9775	182	196	273	275	340	419
MED31	52	54	80	75	100	110
slx1	2	2	5	0	7	7
Dlip2	9	8	12	14	26	28
rpk	39	54	71	66	72	77
Karybeta3	1050	1047	1556	1439	1896	2155
spartin	35	33	52	52	53	53
smash	375	412	632	576	759	899
CG33927	0	0	0	0	0	0
eIF3f1	272	331	515	437	591	684
Nep2	129	124	185	178	242	282
tacc	392	355	595	506	672	737
atms	71	62	112	119	136	133
CG44098	47	66	83	70	94	83
CG44088	11	15	22	17	20	28
CG14655	16	13	25	19	29	31
CG17387	36	44	52	47	73	75
ctrip	598	655	973	812	1123	1257
Hus1-like	14	5	17	14	24	36
CG1129	137	149	197	182	254	264
BBS5	0	3	0	1	3	2
CG14657	62	37	101	86	107	121
CG14658	28	36	42	44	65	47
CG14659	2	1	3	4	2	0
opa	5	1	9	5	8	6
laf	8	13	20	16	21	21
Gnf1	124	118	167	158	195	261
Cdep	200	198	307	274	335	387
Ubc6	297	307	441	406	528	635
CG14661	148	148	250	202	282	307
CG2016	19	13	31	39	32	56
CG1124	50	51	89	93	101	131
